,Model,Injury.Severity,Number.of.Engines
0,108-3,Fatal(2),1.0
1,PA24-180,Fatal(4),1.0
2,172M,Fatal(3),1.0
3,112,Fatal(2),1.0
5,DC9,Non-Fatal,2.0
6,180,Fatal(4),1.0
7,140,Non-Fatal,1.0
8,401B,Non-Fatal,2.0
9,NAVION L-17B,Non-Fatal,1.0
10,PA-28-161,Non-Fatal,1.0
11,V35B,Non-Fatal,1.0
12,17-30A,Non-Fatal,1.0
13,R172K,Fatal(1),1.0
14,A,Fatal(1),1.0
15,19,Fatal(2),1.0
16,280C,Non-Fatal,1.0
17,180,Fatal(3),1.0
18,172,Non-Fatal,1.0
19,WCS-222 (BELL 47G),Non-Fatal,1.0
20,152,Non-Fatal,1.0
21,150L,Non-Fatal,1.0
22,206L-1,Non-Fatal,1.0
23,PA-24-180,Incident,1.0
24,AA-5B,Fatal(2),1.0
25,414A,Fatal(8),2.0
26,BE-58,Fatal(1),2.0
27,M-5-235C,Non-Fatal,1.0
28,210L,Non-Fatal,1.0
29,7GCBC,Non-Fatal,1.0
30,182,Non-Fatal,1.0
31,AT-301,Non-Fatal,1.0
32,PA-28-161,Fatal(4),1.0
33,PA-34-200T,Fatal(2),2.0
34,T337G,Fatal(2),2.0
35,PA-28R-200,Non-Fatal,1.0
36,206,Fatal(1),1.0
37,A,Fatal(3),1.0
38,PA-22,Fatal(1),1.0
39,PA-31,Fatal(2),2.0
40,114,Incident,1.0
41,PA-24-250,Non-Fatal,1.0
43,TR182,Non-Fatal,1.0
44,A185F,Non-Fatal,1.0
45,340,Non-Fatal,2.0
46,SA-316B,Non-Fatal,1.0
47,35,Non-Fatal,1.0
49,M-20J,Non-Fatal,1.0
50,A75,Non-Fatal,1.0
51,210,Fatal(2),1.0
52,V35,Non-Fatal,1.0
53,C46,Non-Fatal,2.0
54,172M,Fatal(1),1.0
55,PA-28-140,Fatal(1),1.0
56,TU206G,Non-Fatal,1.0
60,172N,Non-Fatal,1.0
62,ASW 20,Non-Fatal,0.0
63,P210N,Non-Fatal,1.0
65,PA-34,Non-Fatal,2.0
66,305 (L-19),Non-Fatal,1.0
67,182A,Non-Fatal,1.0
68,PA-23-250,Non-Fatal,2.0
70,23-250,Non-Fatal,2.0
71,M20G,Fatal(1),1.0
72,TU206F,Non-Fatal,1.0
73,1,Non-Fatal,1.0
74,U206,Non-Fatal,1.0
75,PA-28-140,Non-Fatal,1.0
76,210N,Fatal(4),1.0
77,180,Non-Fatal,1.0
78,310L,Non-Fatal,2.0
79,L-1011,Incident,3.0
80,EMB-110P1,Incident,2.0
81,414,Non-Fatal,2.0
82,P35,Non-Fatal,1.0
83,AA5B,Non-Fatal,1.0
84,737-222,Fatal(78),2.0
85,PA-28R-201T,Non-Fatal,1.0
86,A23-24,Non-Fatal,1.0
87,PA-31-350,Non-Fatal,2.0
88,T210N,Fatal(3),1.0
89,310,Non-Fatal,2.0
91,269C,Non-Fatal,1.0
93,SA 226-TC,Non-Fatal,2.0
94,C-45H,Non-Fatal,2.0
95,DHC-2-MK3,Non-Fatal,1.0
96,206L-1,Fatal(1),1.0
97,150M,Non-Fatal,1.0
98,150M,Fatal(1),1.0
99,BD-5B,Fatal(1),1.0
100,182P,Non-Fatal,1.0
101,440,Non-Fatal,2.0
102,PA-31,Fatal(1),2.0
103,PA-31T,Non-Fatal,2.0
104,F50,Fatal(2),2.0
105,150,Non-Fatal,1.0
106,180E,Non-Fatal,1.0
107,170B,Non-Fatal,1.0
108,206B,Non-Fatal,1.0
109,C23,Non-Fatal,1.0
111,PA-28-180,Fatal(3),1.0
112,180K,Non-Fatal,1.0
113,210L,Fatal(4),1.0
114,M20F,Fatal(1),1.0
115,G35,Fatal(2),1.0
116,177B,Fatal(1),1.0
117,AA5A,Fatal(3),1.0
118,SA226-T(B),Fatal(3),2.0
119,DHC-6-300,Incident,2.0
120,AEROSTAR 601P,Non-Fatal,2.0
123,177RG,Non-Fatal,1.0
124,QUICK SILVER,Non-Fatal,1.0
125,182E,Non-Fatal,1.0
126,150H,Non-Fatal,1.0
127,340A,Non-Fatal,2.0
128,PA-38-112,Non-Fatal,1.0
129,CL-44D4,Non-Fatal,4.0
130,PA-32,Non-Fatal,1.0
131,PA-31-350,Incident,2.0
132,58,Fatal(2),2.0
133,182N,Fatal(3),1.0
134,PA-23-250,Fatal(1),2.0
135,210,Fatal(1),1.0
138,P210N,Fatal(4),1.0
139,402A,Fatal(1),2.0
140,DC-3,Non-Fatal,2.0
142,PA-28-235,Fatal(1),1.0
143,AA-1,Fatal(1),1.0
