,Make,Injury.Severity,Number.of.Engines,Engine.Type
0,Stinson,Fatal(2),1.0,Reciprocating
1,Piper,Fatal(4),1.0,Reciprocating
2,Cessna,Fatal(3),1.0,Reciprocating
3,Rockwell,Fatal(2),1.0,Reciprocating
5,Mcdonnell Douglas,Non-Fatal,2.0,Turbo Fan
6,Cessna,Fatal(4),1.0,Reciprocating
7,Cessna,Non-Fatal,1.0,Reciprocating
8,Cessna,Non-Fatal,2.0,Reciprocating
9,North American,Non-Fatal,1.0,Reciprocating
10,Piper,Non-Fatal,1.0,Reciprocating
11,Beech,Non-Fatal,1.0,Reciprocating
12,Bellanca,Non-Fatal,1.0,Reciprocating
13,Cessna,Fatal(1),1.0,Reciprocating
14,Navion,Fatal(1),1.0,Reciprocating
15,Beech,Fatal(2),1.0,Reciprocating
16,Enstrom,Non-Fatal,1.0,Reciprocating
19,Smith,Non-Fatal,1.0,Reciprocating
22,Bell,Non-Fatal,1.0,Turbo Shaft
23,Piper,Incident,1.0,Reciprocating
24,Grumman,Fatal(2),1.0,Reciprocating
25,Cessna,Fatal(8),2.0,Reciprocating
26,Beechcraft,Fatal(1),2.0,Reciprocating
27,Maule,Non-Fatal,1.0,Reciprocating
31,Air Tractor,Non-Fatal,1.0,Reciprocating
33,Piper,Fatal(2),2.0,Reciprocating
34,Cessna,Fatal(2),2.0,Reciprocating
37,Navion,Fatal(3),1.0,Reciprocating
38,Piper,Fatal(1),1.0,Reciprocating
40,Rockwell,Incident,1.0,Reciprocating
46,Aerospatiale,Non-Fatal,1.0,Turbo Shaft
49,Mooney,Non-Fatal,1.0,Reciprocating
50,Boeing,Non-Fatal,1.0,Reciprocating
51,Cessna,Fatal(2),1.0,Reciprocating
53,Curtis,Non-Fatal,2.0,Reciprocating
62,Schleicher,Non-Fatal,0.0,Unknown
65,Piper,Non-Fatal,2.0,Reciprocating
71,Mooney,Fatal(1),1.0,Reciprocating
73,Quickie,Non-Fatal,1.0,Reciprocating
79,Lockheed,Incident,3.0,Turbo Fan
80,Embraer,Incident,2.0,Turbo Prop
