,Make,Aircraft.Category,Number.of.Engines,Engine.Type,Injury.Severity
5,Mcdonnell Douglas,Airplane,2.0,Turbo Fan,Non-Fatal
7,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
8,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
12,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
13,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
14,Navion,Airplane,1.0,Reciprocating,Fatal(1)
15,Beech,Airplane,1.0,Reciprocating,Fatal(2)
17,Cessna,Airplane,1.0,Reciprocating,Fatal(3)
18,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
20,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
21,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
23,Piper,Airplane,1.0,Reciprocating,Incident
24,Grumman,Airplane,1.0,Reciprocating,Fatal(2)
25,Cessna,Airplane,2.0,Reciprocating,Fatal(8)
26,Beechcraft,Airplane,2.0,Reciprocating,Fatal(1)
27,Maule,Airplane,1.0,Reciprocating,Non-Fatal
28,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
29,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
30,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
31,Air Tractor,Airplane,1.0,Reciprocating,Non-Fatal
32,Piper,Airplane,1.0,Reciprocating,Fatal(4)
33,Piper,Airplane,2.0,Reciprocating,Fatal(2)
34,Cessna,Airplane,2.0,Reciprocating,Fatal(2)
35,Piper,Airplane,1.0,Reciprocating,Non-Fatal
36,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
37,Navion,Airplane,1.0,Reciprocating,Fatal(3)
38,Piper,Airplane,1.0,Reciprocating,Fatal(1)
39,Piper,Airplane,2.0,Reciprocating,Fatal(2)
40,Rockwell,Airplane,1.0,Reciprocating,Incident
41,Piper,Airplane,1.0,Reciprocating,Non-Fatal
42,Piper,Airplane,1.0,Reciprocating,Non-Fatal
43,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
44,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
45,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
47,Beech,Airplane,1.0,Reciprocating,Non-Fatal
48,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
49,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
50,Boeing,Airplane,1.0,Reciprocating,Non-Fatal
51,Cessna,Airplane,1.0,Reciprocating,Fatal(2)
52,Beech,Airplane,1.0,Reciprocating,Non-Fatal
53,Curtis,Airplane,2.0,Reciprocating,Non-Fatal
54,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
55,Piper,Airplane,1.0,Reciprocating,Fatal(1)
56,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
57,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
58,Piper,Airplane,1.0,Reciprocating,Non-Fatal
59,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
60,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
61,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
63,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
64,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
65,Piper,Airplane,2.0,Reciprocating,Non-Fatal
66,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
67,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
68,Piper,Airplane,2.0,Reciprocating,Non-Fatal
69,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
70,Piper,Airplane,2.0,Reciprocating,Non-Fatal
71,Mooney,Airplane,1.0,Reciprocating,Fatal(1)
72,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
